iter	Passed	Remaining
222	320	1117
223	321	1113
224	322	1109
225	322	1105
226	323	1102
227	324	1098
228	325	1094
229	325	1090
230	326	1087
231	327	1083
232	328	1079
233	328	1076
234	329	1072
235	330	1069
236	331	1065
237	331	1062
238	332	1058
239	333	1055
240	334	1051
241	334	1048
242	335	1044
243	335	1040
244	336	1037
245	337	1033
246	338	1030
247	338	1027
248	339	1024
249	340	1020
250	340	1017
251	341	1013
252	342	1010
253	342	1007
254	343	1003
255	344	1000
256	345	998
257	346	995
258	346	992
259	347	989
260	348	986
261	348	982
262	349	979
263	350	976
264	351	973
265	351	970
266	352	968
267	353	965
268	354	962
269	355	959
270	355	957
271	356	953
272	357	951
273	358	949
274	359	947
275	360	945
276	361	942
277	361	939
278	362	937
279	363	934
280	364	931
281	364	928
282	365	926
283	366	923
284	366	920
285	367	917
286	368	915
287	369	912
288	369	910
289	370	907
290	371	904
291	372	902
292	372	899
293	373	896
294	374	894
295	375	892
296	375	889
297	376	887
298	377	885
299	378	882
300	379	880
301	379	877
302	380	875
303	381	872
304	381	870
305	382	867
306	383	865
307	384	863
308	384	860
309	385	858
310	386	855
311	386	853
312	387	850
313	388	848
314	389	846
315	389	843
316	390	841
317	391	839
318	391	836
319	392	834
320	393	832
321	394	829
322	394	827
323	395	824
324	396	822
325	396	820
326	397	818
327	398	816
328	399	814
329	399	811
330	400	809
331	401	807
332	401	804
333	402	802
334	404	801
335	404	800
336	406	799
337	406	796
338	407	794
339	408	792
340	409	790
341	409	788
342	410	786
343	411	784
344	411	782
345	412	780
346	413	778
347	414	776
348	415	774
349	415	772
350	416	770
351	417	768
352	417	766
353	418	763
354	419	761
355	420	759
356	420	757
357	421	755
358	422	753
359	423	752
360	423	750
361	424	748
362	425	746
363	425	744
364	426	742
365	427	740
366	428	738
367	428	736
368	429	734
369	430	732
370	431	730
371	431	729
372	433	727
373	433	726
374	438	730
375	444	738
376	452	747
377	453	745
378	460	755
379	468	764
380	472	767
381	472	765
382	473	763
383	474	761
384	475	758
385	475	756
386	476	754
387	476	752
388	477	750
389	478	748
390	479	746
391	482	748
392	488	754
393	494	760
394	498	763
395	499	761
396	499	758
397	500	757
398	501	755
399	502	753
400	502	751
401	503	749
402	504	747
403	504	744
404	505	743
405	510	746
406	517	753
407	523	760
408	525	759
409	526	758
410	528	757
411	529	756
412	531	755
413	532	753
414	534	752
415	535	751
416	536	750
417	537	748
418	538	747
419	540	745
420	541	744
421	542	743
422	543	741
423	545	740
424	546	739
425	548	738
426	549	737
427	550	736
428	551	734
429	553	733
430	554	731
431	555	730
432	556	729
433	557	727
434	558	725
435	559	724
436	561	722
437	562	721
438	563	720
439	564	718
440	565	717
441	566	715
442	567	713
443	569	712
444	570	711
445	571	709
446	572	707
447	573	706
448	574	704
449	574	702
450	575	700
451	576	698
452	577	696
453	578	695
454	578	693
455	579	691
456	580	689
457	581	687
458	582	685
459	582	684
460	583	682
461	584	680
462	584	678
463	585	676
464	591	681
465	599	686
466	603	689
467	605	688
468	606	687
469	608	686
470	609	684
471	611	683
472	612	682
473	613	680
474	615	679
475	616	678
476	617	677
477	619	675
478	620	674
479	621	673
480	622	671
481	624	670
482	625	669
483	626	668
484	627	666
485	629	665
486	630	664
487	632	663
488	633	661
489	634	660
490	636	659
491	637	658
492	639	657
493	640	656
494	641	654
495	642	653
496	644	652
497	645	651
498	647	649
499	648	648
500	649	647
501	651	645
502	652	644
503	653	642
504	654	641
505	655	639
506	655	637
507	656	636
508	657	634
509	658	632
510	659	630
511	660	629
512	661	627
513	662	626
514	662	624
515	663	622
516	664	620
517	665	618
518	665	616
519	666	615
520	667	613
521	668	612
522	670	611
523	672	610
524	674	609
525	676	609
526	677	608
527	679	607
528	681	606
529	684	606
530	686	605
531	687	604
532	689	603
533	691	603
534	693	602
535	695	601
536	697	601
537	699	600
538	701	599
539	702	598
540	704	597
541	706	597
542	708	596
543	710	595
544	712	594
545	713	593
546	715	592
547	717	591
548	718	590
549	720	589
550	722	588
551	723	587
552	725	586
553	727	585
554	729	584
555	730	583
556	732	582
557	733	581
558	734	579
559	736	578
560	737	577
561	738	575
562	739	574
563	740	572
564	742	571
565	743	569
566	744	568
567	745	566
568	746	565
569	746	563
570	747	561
571	748	559
572	749	558
573	749	556
574	750	554
575	751	553
576	752	551
577	753	549
578	753	548
579	754	546
580	755	544
581	755	542
582	756	541
583	757	539
584	757	537
585	758	535
586	761	535
587	767	537
588	774	540
589	776	539
590	777	537
591	782	539
592	790	542
593	796	544
594	797	542
595	798	541
596	799	539
597	800	538
598	801	536
599	802	534
600	803	533
601	804	531
602	805	530
603	806	528
604	806	526
605	807	525
606	808	523
607	809	521
608	810	520
609	811	518
610	811	516
611	812	515
612	813	513
613	814	511
614	815	510
615	815	508
616	816	506
617	817	505
618	818	503
619	819	501
620	819	500
621	820	498
622	821	496
623	822	495
624	822	493
625	823	492
626	824	490
627	825	488
628	826	487
629	826	485
630	827	483
631	828	482
632	829	480
633	829	479
634	830	477
635	831	475
636	832	474
637	833	472
638	834	471
639	834	469
640	835	468
641	836	466
642	837	464
643	837	463
644	838	461
645	839	460
646	840	458
647	841	457
648	842	455
649	842	453
650	843	452
651	844	450
652	844	448
653	845	447
654	845	445
655	846	443
656	847	442
657	847	440
658	848	439
659	849	437
660	854	438
661	860	439
662	866	440
663	868	439
664	869	438
665	870	436
666	872	435
667	873	434
668	874	432
669	875	431
670	876	429
671	877	428
672	879	427
673	880	425
674	881	424
675	882	422
676	883	421
677	884	420
678	885	418
679	886	417
680	888	415
681	889	414
682	890	413
683	891	412
684	892	410
685	894	409
686	895	408
687	897	406
688	898	405
689	899	404
690	900	402
691	901	401
692	903	400
693	904	398
694	905	397
695	906	396
696	907	394
697	908	393
698	910	391
699	911	390
700	912	389
701	913	387
702	914	386
703	915	384
704	916	383
705	917	382
706	918	380
707	919	379
708	920	377
709	920	376
710	921	374
711	922	373
712	923	371
713	924	370
714	925	368
715	925	367
716	926	365
717	927	364
718	927	362
719	928	361
720	928	359
721	929	357
722	930	356
723	930	354
724	931	353
725	932	351
726	936	351
727	942	352
728	949	353
729	950	351
730	951	350
731	952	348
732	953	347
733	954	345
734	955	344
735	955	342
736	956	341
737	957	339
738	958	338
739	959	337
740	960	335
741	960	334
742	961	332
743	962	331
744	963	329
745	964	328
746	965	326
747	966	325
748	966	324
749	967	322
750	968	321
751	969	319
752	970	318
753	971	316
754	971	315
755	972	313
756	973	312
757	974	311
758	975	309
759	975	308
760	976	306
761	977	305
762	978	303
763	979	302
764	980	301
765	980	299
766	981	298
767	982	296
768	983	295
769	983	293
770	984	292
771	985	291
772	986	289
773	987	288
774	988	286
775	988	285
776	989	284
777	990	282
778	990	281
779	991	279
780	992	278
781	993	276
782	994	275
783	994	274
784	995	272
785	996	271
786	996	269
787	997	268
788	997	266
789	998	265
790	999	263
791	999	262
792	1000	261
793	1006	261
794	1013	261
795	1018	260
796	1018	259
797	1019	258
798	1020	256
799	1020	255
800	1021	253
801	1022	252
802	1023	251
803	1029	250
804	1035	250
805	1041	250
806	1042	249
807	1043	248
808	1045	246
809	1046	245
810	1047	244
811	1049	242
812	1050	241
813	1052	240
814	1053	239
815	1054	237
816	1056	236
817	1057	235
818	1058	233
819	1060	232
820	1061	231
821	1062	230
822	1063	228
823	1064	227
824	1066	226
825	1067	224
826	1068	223
827	1069	222
828	1071	220
829	1072	219
830	1073	218
831	1074	216
832	1075	215
833	1076	214
834	1078	213
835	1079	211
836	1080	210
837	1081	209
838	1083	207
839	1084	206
840	1085	205
841	1086	203
842	1087	202
843	1088	201
844	1089	199
845	1090	198
846	1091	197
847	1092	195
848	1093	194
849	1093	193
850	1094	191
851	1095	190
852	1096	188
853	1096	187
854	1097	186
855	1098	184
856	1098	183
857	1100	182
858	1106	181
859	1114	181
860	1116	180
861	1117	178
862	1118	177
863	1118	176
864	1119	174
865	1120	173
866	1120	171
867	1124	170
868	1130	170
869	1136	169
870	1139	168
871	1140	167
872	1141	166
873	1142	164
874	1143	163
875	1144	161
876	1144	160
877	1145	159
878	1146	157
879	1147	156
880	1148	155
881	1149	153
882	1150	152
883	1151	151
884	1152	149
885	1153	148
886	1154	147
887	1155	145
888	1156	144
889	1156	142
890	1157	141
891	1158	140
892	1159	138
893	1160	137
894	1160	136
895	1161	134
896	1162	133
897	1163	132
898	1163	130
899	1164	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1168	122
905	1169	121
906	1170	120
907	1171	118
908	1171	117
909	1172	116
910	1174	114
911	1174	113
912	1175	112
913	1176	110
914	1177	109
915	1177	108
916	1178	106
917	1179	105
918	1180	104
919	1181	102
920	1182	101
921	1182	100
922	1183	98
923	1184	97
924	1185	96
925	1186	94
926	1186	93
927	1187	92
928	1187	90
929	1188	89
930	1189	88
931	1194	87
932	1200	86
933	1206	85
934	1207	83
935	1208	82
936	1208	81
937	1209	79
938	1210	78
939	1211	77
940	1211	75
941	1212	74
942	1212	73
943	1213	71
944	1214	70
945	1215	69
946	1215	68
947	1216	66
948	1217	65
949	1218	64
950	1219	62
951	1220	61
952	1221	60
953	1222	58
954	1223	57
955	1223	56
956	1224	55
957	1225	53
958	1226	52
959	1227	51
960	1228	49
961	1229	48
962	1229	47
963	1230	45
964	1231	44
965	1232	43
966	1233	42
967	1234	40
968	1235	39
969	1236	38
970	1236	36
971	1237	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1243	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1247	21
983	1248	20
984	1249	19
985	1250	17
986	1250	16
987	1251	15
988	1252	13
989	1253	12
990	1254	11
991	1254	10
992	1255	8
993	1256	7
994	1257	6
995	1258	5
996	1259	3
997	1259	2
998	1260	1
999	1261	0
